image,method,threshold,shrink,patch_size,sigma,mse,psnr
nyancat_gray.png,local,soft,v,9,30,225.66,24.60
nyancat_gray.png,local,soft,b,5,10,40.98,32.01
nyancat_gray.png,local,soft,b,5,20,102.08,28.04
nyancat_gray.png,local,soft,b,5,30,170.76,25.81
nyancat_gray.png,local,soft,b,7,10,39.52,32.16
nyancat_gray.png,local,soft,b,7,20,94.55,28.37
nyancat_gray.png,local,soft,b,7,30,145.54,26.50
nyancat_gray.png,local,soft,b,9,10,39.42,32.17
nyancat_gray.png,local,soft,b,9,20,92.77,28.46
nyancat_gray.png,local,soft,b,9,30,140.25,26.66
nyancat_gray.png,global,hard,v,5,10,6.29,40.14
nyancat_gray.png,global,hard,v,5,20,30.38,33.30
nyancat_gray.png,global,hard,v,5,30,315.88,23.14
nyancat_gray.png,global,hard,v,7,10,5.74,40.54
nyancat_gray.png,global,hard,v,7,20,19.93,35.14
nyancat_gray.png,global,hard,v,7,30,60.23,30.33
nyancat_gray.png,global,hard,v,9,10,7.27,39.52
nyancat_gray.png,global,hard,v,9,20,21.55,34.80
nyancat_gray.png,global,hard,v,9,30,43.92,31.70
nyancat_gray.png,global,hard,b,5,10,96.05,28.31
nyancat_gray.png,global,hard,b,5,20,336.68,22.86
nyancat_gray.png,global,hard,b,5,30,557.62,20.67
nyancat_gray.png,global,hard,b,7,10,95.98,28.31
nyancat_gray.png,global,hard,b,7,20,342.91,22.78
nyancat_gray.png,global,hard,b,7,30,577.35,20.52
nyancat_gray.png,global,hard,b,9,10,96.43,28.29
nyancat_gray.png,global,hard,b,9,20,345.41,22.75
nyancat_gray.png,global,hard,b,9,30,598.52,20.36
nyancat_gray.png,global,soft,v,5,10,128.47,27.04
nyancat_gray.png,global,soft,v,5,20,485.86,21.27
nyancat_gray.png,global,soft,v,5,30,889.48,18.64
nyancat_gray.png,global,soft,v,7,10,77.90,29.22
nyancat_gray.png,global,soft,v,7,20,278.29,23.69
nyancat_gray.png,global,soft,v,7,30,578.95,20.50
nyancat_gray.png,global,soft,v,9,10,59.35,30.40
nyancat_gray.png,global,soft,v,9,20,198.01,25.16
nyancat_gray.png,global,soft,v,9,30,404.78,22.06
nyancat_gray.png,global,soft,b,5,10,60.90,30.28
nyancat_gray.png,global,soft,b,5,20,153.74,26.26
nyancat_gray.png,global,soft,b,5,30,262.92,23.93
nyancat_gray.png,global,soft,b,7,10,60.70,30.30
nyancat_gray.png,global,soft,b,7,20,148.20,26.42
nyancat_gray.png,global,soft,b,7,30,220.89,24.69
nyancat_gray.png,global,soft,b,9,10,60.83,30.29
nyancat_gray.png,global,soft,b,9,20,145.78,26.49
nyancat_gray.png,global,soft,b,9,30,207.26,24.97
wemby_gray.png,local,hard,v,5,10,15.08,36.35
wemby_gray.png,local,hard,v,5,20,55.61,30.68
wemby_gray.png,local,hard,v,5,30,138.58,26.71
wemby_gray.png,local,hard,v,7,10,15.58,36.21
wemby_gray.png,local,hard,v,7,20,43.08,31.79
wemby_gray.png,local,hard,v,7,30,88.30,28.67
wemby_gray.png,local,hard,v,9,10,16.60,35.93
wemby_gray.png,local,hard,v,9,20,41.83,31.92
wemby_gray.png,local,hard,v,9,30,76.07,29.32
wemby_gray.png,local,hard,b,5,10,82.91,28.94
wemby_gray.png,local,hard,b,5,20,248.25,24.18
wemby_gray.png,local,hard,b,5,30,436.01,21.74
wemby_gray.png,local,hard,b,7,10,83.87,28.89
wemby_gray.png,local,hard,b,7,20,251.50,24.13
wemby_gray.png,local,hard,b,7,30,435.29,21.74
wemby_gray.png,local,hard,b,9,10,85.01,28.84
wemby_gray.png,local,hard,b,9,20,253.63,24.09
wemby_gray.png,local,hard,b,9,30,437.58,21.72
wemby_gray.png,local,soft,v,5,10,110.19,27.71
wemby_gray.png,local,soft,v,5,20,339.29,22.83
wemby_gray.png,local,soft,v,5,30,619.67,20.21
wemby_gray.png,local,soft,v,7,10,79.58,29.12
wemby_gray.png,local,soft,v,7,20,230.55,24.50
wemby_gray.png,local,soft,v,7,30,422.35,21.87
wemby_gray.png,local,soft,v,9,10,68.18,29.79
wemby_gray.png,local,soft,v,9,20,185.03,25.46
wemby_gray.png,local,soft,v,9,30,329.14,22.96
wemby_gray.png,local,soft,b,5,10,53.59,30.84
wemby_gray.png,local,soft,b,5,20,138.93,26.70
wemby_gray.png,local,soft,b,5,30,233.18,24.45
wemby_gray.png,local,soft,b,7,10,53.26,30.87
wemby_gray.png,local,soft,b,7,20,131.98,26.93
wemby_gray.png,local,soft,b,7,30,210.59,24.90
wemby_gray.png,local,soft,b,9,10,53.50,30.85
